2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,54, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,42,55, Grip:0, Pull:1, Flip:1
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,11, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
2019,11,13,14,44,12, Grip:0, Pull:1, Flip:0
